mission_name,longitude,latitude,country
San Juan Bautista,-54.268229,-28.363785,Brasil
Santo Ángel,-54.263507,-28.300296,Brasil
San Miguel,-54.551482,-28.54517,Brasil
San Lorenzo,-54.712109,-28.46212,Brasil
San Luis Gonzaga,-54.961327,-28.409272,Brasil
San Borja,-55.978087,-28.680582,Brasil
San Nicolás,-55.266696,-28.176783,Brasil
Candelaria,-55.744028,-27.461271,Argentina
Corpus,-55.511046,-27.129598,Argentina
San Javier,-55.138908,-27.871956,Argentina
San José,-55.780476,-27.770103,Argentina
Santa María la Mayor,-55.355598,-27.8944,Argentina
Concepción,-55.44761,-27.92493,Argentina
Mártires,-55.378754,-27.424179,Argentina
Santa Ana,-55.581918,-27.369284,Argentina
Loreto,-55.533329,-27.316669,Argentina
Apóstoles,-55.754922,-27.914332,Argentina
San Ignacio de Miní,-55.539202,-27.258634,Argentina
Yapeyú,-56.816395,-29.469768,Argentina
San Carlos,-55.898482,-27.74362,Argentina
San Ignacio Guazú,-57.028333,-26.886667,Paraguay
Encarnación o Itapua,-55.866362,-27.339758,Paraguay
Trinidad,-55.707836,-27.128355,Paraguay
Jesús,-55.741169,-27.054974,Paraguay
San Cosme y Damián,-56.376842,-27.305008,Paraguay
Santa Rosa,-56.851742,-26.89172,Paraguay
Santo Tomé,-56.042976,-28.552334,Argentina
La Cruz,-56.638083,-29.177906,Argentina
Santiago,-56.766484,-27.143572,Paraguay
Santa María de Fe,-56.940795,-26.783146,Paraguay
